date,Team_1,Team_2,Winner,Margin,Ground
3/23/2001,Sri Lanka,England,Sri Lanka,5 wickets,Dambulla
3/25/2001,Sri Lanka,England,Sri Lanka,66 runs,Colombo (RPS)
3/27/2001,Sri Lanka,England,Sri Lanka,10 wickets,Colombo (SSC)
6/7/2001,England,Pakistan,Pakistan,108 runs,Birmingham
6/10/2001,England,Australia,Australia,5 wickets,Bristol
6/12/2001,England,Pakistan,Pakistan,2 runs,Lord's
6/14/2001,England,Australia,Australia,125 runs,Manchester
6/17/2001,England,Pakistan,Pakistan,,Leeds
6/21/2001,England,Australia,Australia,8 wickets,The Oval
10/3/2001,Zimbabwe,England,England,5 wickets,Harare
10/6/2001,Zimbabwe,England,England,8 wickets,Harare
10/7/2001,Zimbabwe,England,England,4 wickets,Harare
10/10/2001,Zimbabwe,England,England,70 runs,Bulawayo
10/13/2001,Zimbabwe,England,England,7 wickets,Bulawayo
1/19/2002,India,England,India,22 runs,Kolkata
1/22/2002,India,England,England,16 runs,Cuttack
1/25/2002,India,England,India,4 wickets,Chennai
1/28/2002,India,England,India,8 wickets,Kanpur
1/31/2002,India,England,England,2 runs,Delhi
2/3/2002,India,England,England,5 runs,Mumbai
2/13/2002,New Zealand,England,New Zealand,4 wickets,Christchurch
2/16/2002,New Zealand,England,New Zealand,155 runs,Wellington
2/20/2002,New Zealand,England,England,43 runs,Napier
2/23/2002,New Zealand,England,England,33 runs,Auckland
2/26/2002,New Zealand,England,New Zealand,5 wickets,Dunedin
6/27/2002,England,Sri Lanka,England,44 runs,Nottingham
6/29/2002,England,India,India,6 wickets,Lord's
7/2/2002,England,Sri Lanka,England,3 wickets,Leeds
7/4/2002,England,India,India,-,Chester-le-Street
7/7/2002,England,Sri Lanka,Sri Lanka,23 runs,Manchester
7/9/2002,England,India,England,64 runs,The Oval
7/13/2002,England,India,India,2 wickets,Lord's
9/18/2002,England,Zimbabwe,England,108 runs,Colombo (RPS)
9/22/2002,England,India,India,8 wickets,Colombo (RPS)
12/13/2002,Australia,England,Australia,7 wickets,Sydney
12/15/2002,Australia,England,Australia,89 runs,Melbourne
12/17/2002,England,Sri Lanka,England,43 runs,Brisbane
12/20/2002,England,Sri Lanka,England,95 runs,Perth
1/11/2003,Australia,England,Australia,7 runs,Hobart
1/13/2003,England,Sri Lanka,Sri Lanka,31 runs,Sydney
1/17/2003,England,Sri Lanka,England,19 runs,Adelaide
1/19/2003,Australia,England,Australia,4 wickets,Adelaide
1/23/2003,Australia,England,Australia,10 wickets,Sydney
1/25/2003,Australia,England,Australia,5 runs,Melbourne
2/13/2003,Zimbabwe,England,Zimbabwe,,Harare
2/16/2003,England,Netherlands,England,6 wickets,East London
2/19/2003,England,Namibia,England,55 runs,Port Elizabeth
2/22/2003,England,Pakistan,England,112 runs,Cape Town
2/26/2003,England,India,India,82 runs,Durban
3/2/2003,Australia,England,Australia,2 wickets,Port Elizabeth
6/17/2003,England,Pakistan,Pakistan,2 wickets,Manchester
6/20/2003,England,Pakistan,England,7 wickets,The Oval
6/22/2003,England,Pakistan,England,4 wickets,Lord's
6/26/2003,England,Zimbabwe,Zimbabwe,4 wickets,Nottingham
6/28/2003,England,South Africa,England,6 wickets,The Oval
7/1/2003,England,Zimbabwe,Zimbabwe,-,Leeds
7/3/2003,England,South Africa,South Africa,7 wickets,Manchester
7/6/2003,England,Zimbabwe,England,6 wickets,Bristol
7/8/2003,England,South Africa,England,4 wickets,Birmingham
7/12/2003,England,South Africa,England,7 wickets,Lord's
11/7/2003,Bangladesh,England,England,7 wickets,Chattogram
11/10/2003,Bangladesh,England,England,7 wickets,Dhaka
11/12/2003,Bangladesh,England,England,7 wickets,Dhaka
11/18/2003,Sri Lanka,England,Sri Lanka,10 wickets,Dambulla
11/21/2003,Sri Lanka,England,Sri Lanka,-,Colombo (RPS)
11/23/2003,Sri Lanka,England,Sri Lanka,-,Colombo (RPS)
4/18/2004,West Indies,England,England,2 wickets,Georgetown
4/24/2004,West Indies,England,West Indies,-,Port of Spain
4/25/2004,West Indies,England,West Indies,-,Port of Spain
4/28/2004,West Indies,England,West Indies,-,St George's
5/1/2004,West Indies,England,West Indies,5 wickets,Gros Islet
5/2/2004,West Indies,England,West Indies,4 wickets,Gros Islet
5/5/2004,West Indies,England,England,5 wickets,Bridgetown
6/24/2004,England,New Zealand,New Zealand,-,Manchester
6/27/2004,England,West Indies,West Indies,7 wickets,Nottingham
6/29/2004,England,New Zealand,New Zealand,7 wickets,Chester-le-Street
7/1/2004,England,West Indies,England,7 wickets,Leeds
7/4/2004,England,New Zealand,New Zealand,6 wickets,Bristol
7/6/2004,England,West Indies,West Indies,7 wickets,Lord's
9/1/2004,England,India,England,7 wickets,Nottingham
9/3/2004,England,India,England,70 runs,The Oval
9/5/2004,England,India,India,23 runs,Lord's
9/10/2004,England,Zimbabwe,England,152 runs,Birmingham
9/17/2004,England,Sri Lanka,England,49 runs,Southampton
9/21/2004,England,Australia,England,6 wickets,Birmingham
9/25/2004,England,West Indies,West Indies,2 wickets,The Oval
11/28/2004,Zimbabwe,England,England,5 wickets,Harare
12/1/2004,Zimbabwe,England,England,161 runs,Harare
12/4/2004,Zimbabwe,England,England,8 wickets,Bulawayo
12/5/2004,Zimbabwe,England,England,74 runs,Bulawayo
1/30/2005,South Africa,England,England,26 runs,Johannesburg
2/2/2005,South Africa,England,South Africa,-,Bloemfontein
2/4/2005,South Africa,England,South Africa,3 wickets,Port Elizabeth
2/6/2005,South Africa,England,South Africa,108 runs,Cape Town
2/9/2005,South Africa,England,South Africa,7 runs,East London
2/11/2005,South Africa,England,South Africa,-,Durban
2/13/2005,South Africa,England,South Africa,3 wickets,Centurion
6/16/2005,England,Bangladesh,England,10 wickets,The Oval
6/19/2005,England,Australia,England,3 wickets,Bristol
6/21/2005,England,Bangladesh,England,168 runs,Nottingham
6/23/2005,England,Australia,Australia,57 runs,Chester-le-Street
6/26/2005,England,Bangladesh,England,5 wickets,Leeds
6/28/2005,England,Australia,Australia,-,Birmingham
7/2/2005,England,Australia,Australia,-,Lord's
7/7/2005,England,Australia,England,9 wickets,Leeds
7/10/2005,England,Australia,Australia,7 wickets,Lord's
7/12/2005,England,Australia,Australia,8 wickets,The Oval
12/10/2005,Pakistan,England,England,42 runs,Lahore
12/12/2005,Pakistan,England,Pakistan,7 wickets,Lahore
12/15/2005,Pakistan,England,Pakistan,165 runs,Karachi
12/19/2005,Pakistan,England,Pakistan,13 runs,Rawalpindi
12/21/2005,Pakistan,England,England,6 runs,Rawalpindi
3/28/2006,India,England,India,39 runs,Delhi
3/31/2006,India,England,India,4 wickets,Faridabad
4/3/2006,India,England,India,49 runs,Margao
4/6/2006,India,England,India,4 wickets,Kochi
4/9/2006,India,England,India,-,Guwahati
4/12/2006,India,England,England,5 wickets,Jamshedpur
4/15/2006,India,England,India,7 wickets,Indore
6/13/2006,Ireland,England,England,38 runs,Belfast
6/17/2006,England,Sri Lanka,Sri Lanka,20 runs,Lord's
6/20/2006,England,Sri Lanka,Sri Lanka,46 runs,The Oval
6/24/2006,England,Sri Lanka,Sri Lanka,8 wickets,Chester-le-Street
6/28/2006,England,Sri Lanka,Sri Lanka,33 runs,Manchester
7/1/2006,England,Sri Lanka,Sri Lanka,8 wickets,Leeds
8/30/2006,England,Pakistan,Pakistan,-,Cardiff
9/2/2006,England,Pakistan,Pakistan,7 wickets,Lord's
9/5/2006,England,Pakistan,Pakistan,2 wickets,Southampton
9/8/2006,England,Pakistan,England,8 wickets,Nottingham
9/10/2006,England,Pakistan,England,3 wickets,Birmingham
10/15/2006,India,England,India,4 wickets,Jaipur
10/21/2006,Australia,England,Australia,6 wickets,Jaipur
10/28/2006,England,West Indies,England,3 wickets,Ahmedabad
1/12/2007,Australia,England,Australia,8 wickets,Melbourne
1/16/2007,England,New Zealand,England,3 wickets,Hobart
1/19/2007,Australia,England,Australia,4 wickets,Brisbane
1/23/2007,England,New Zealand,New Zealand,90 runs,Adelaide
1/26/2007,Australia,England,Australia,9 wickets,Adelaide
1/30/2007,England,New Zealand,New Zealand,58 runs,Perth
2/2/2007,Australia,England,England,92 runs,Sydney
2/6/2007,England,New Zealand,England,14 runs,Brisbane
2/9/2007,Australia,England,England,4 wickets,Melbourne
2/11/2007,Australia,England,England,34 runs,Sydney
3/16/2007,England,New Zealand,New Zealand,6 wickets,Gros Islet
3/18/2007,Canada,England,England,51 runs,Gros Islet
3/24/2007,England,Kenya,England,7 wickets,Gros Islet
3/30/2007,England,Ireland,England,48 runs,Providence
4/4/2007,England,Sri Lanka,Sri Lanka,2 runs,North Sound
4/8/2007,Australia,England,Australia,7 wickets,North Sound
4/11/2007,Bangladesh,England,England,4 wickets,Bridgetown
4/17/2007,England,South Africa,South Africa,9 wickets,Bridgetown
4/21/2007,West Indies,England,England,1 wickets,Bridgetown
7/1/2007,England,West Indies,England,79 runs,Lord's
7/4/2007,England,West Indies,West Indies,61 runs,Birmingham
7/7/2007,England,West Indies,West Indies,93 runs,Nottingham
8/21/2007,England,India,England,104 runs,Southampton
8/24/2007,England,India,India,9 runs,Bristol
8/27/2007,England,India,England,42 runs,Birmingham
8/30/2007,England,India,England,3 wickets,Manchester
9/2/2007,England,India,India,38 runs,Leeds
9/5/2007,England,India,India,2 wickets,The Oval
9/8/2007,England,India,England,7 wickets,Lord's
10/1/2007,Sri Lanka,England,Sri Lanka,119 runs,Dambulla
10/4/2007,Sri Lanka,England,England,65 runs,Dambulla
10/7/2007,Sri Lanka,England,England,2 wickets,Dambulla
10/10/2007,Sri Lanka,England,England,5 wickets,Colombo (RPS)
10/13/2007,Sri Lanka,England,Sri Lanka,107 runs,Colombo (RPS)
2/9/2008,New Zealand,England,New Zealand,6 wickets,Wellington
2/12/2008,New Zealand,England,New Zealand,10 wickets,Hamilton
2/15/2008,New Zealand,England,England,6 wickets,Auckland
2/20/2008,New Zealand,England,New Zealand,-,Napier
2/23/2008,New Zealand,England,New Zealand,34 runs,Christchurch
6/15/2008,England,New Zealand,England,114 runs,Chester-le-Street
6/18/2008,England,New Zealand,New Zealand,-,Birmingham
6/21/2008,England,New Zealand,New Zealand,22 runs,Bristol
6/25/2008,England,New Zealand,New Zealand,1 wickets,The Oval
6/28/2008,England,New Zealand,New Zealand,51 runs,Lord's
8/18/2008,Scotland,England,Scotland,-,Edinburgh
8/22/2008,England,South Africa,England,20 runs,Leeds
8/26/2008,England,South Africa,England,10 wickets,Nottingham
8/29/2008,England,South Africa,England,126 runs,The Oval
8/31/2008,England,South Africa,England,7 wickets,Lord's
9/3/2008,England,South Africa,South Africa,-,Cardiff
11/14/2008,India,England,India,158 runs,Rajkot
11/17/2008,India,England,India,54 runs,Indore
11/20/2008,India,England,India,16 runs,Kanpur
11/23/2008,India,England,India,19 runs,Bengaluru
11/26/2008,India,England,India,6 wickets,Cuttack
11/29/2008,India,England,India,-,Guwahati
12/2/2008,India,England,India,-,Delhi
3/20/2009,West Indies,England,England,1 runs,Providence
3/22/2009,West Indies,England,West Indies,21 runs,Providence
3/27/2009,West Indies,England,West Indies,8 wickets,Bridgetown
3/29/2009,West Indies,England,England,9 wickets,Bridgetown
4/3/2009,West Indies,England,England,26 runs,Gros Islet
5/21/2009,England,West Indies,West Indies,-,Leeds
5/24/2009,England,West Indies,England,6 wickets,Bristol
5/26/2009,England,West Indies,England,58 runs,Birmingham
8/27/2009,Ireland,England,England,3 runs,Belfast
9/4/2009,England,Australia,Australia,4 runs,The Oval
9/6/2009,England,Australia,Australia,39 runs,Lord's
9/9/2009,England,Australia,Australia,6 wickets,Southampton
9/12/2009,England,Australia,Australia,7 wickets,Lord's
9/15/2009,England,Australia,Australia,4 wickets,Nottingham
9/17/2009,England,Australia,Australia,111 runs,Nottingham
9/20/2009,England,Australia,England,4 wickets,Chester-le-Street
9/25/2009,England,Sri Lanka,England,6 wickets,Johannesburg
9/27/2009,South Africa,England,England,22 runs,Centurion
9/29/2009,England,New Zealand,New Zealand,4 wickets,Johannesburg
10/2/2009,Australia,England,Australia,9 wickets,Centurion
11/20/2009,South Africa,England,South Africa,-,Johannesburg
11/22/2009,South Africa,England,England,7 wickets,Centurion
11/27/2009,South Africa,England,South Africa,112 runs,Cape Town
11/29/2009,South Africa,England,England,7 wickets,Port Elizabeth
12/4/2009,South Africa,England,South Africa,-,Durban
2/28/2010,Bangladesh,England,England,6 wickets,Dhaka
3/2/2010,Bangladesh,England,England,2 wickets,Dhaka
3/5/2010,Bangladesh,England,England,45 runs,Chattogram
6/19/2010,Scotland,England,England,7 wickets,Edinburgh
6/22/2010,England,Australia,England,4 wickets,Southampton
6/24/2010,England,Australia,England,4 wickets,Cardiff
6/27/2010,England,Australia,England,1 wickets,Manchester
6/30/2010,England,Australia,Australia,78 runs,The Oval
7/3/2010,England,Australia,Australia,42 runs,Lord's
7/8/2010,England,Bangladesh,England,6 wickets,Nottingham
7/10/2010,England,Bangladesh,Bangladesh,5 runs,Bristol
7/12/2010,England,Bangladesh,England,144 runs,Birmingham
9/10/2010,England,Pakistan,England,24 runs,Chester-le-Street
9/12/2010,England,Pakistan,England,4 wickets,Leeds
9/17/2010,England,Pakistan,Pakistan,23 runs,The Oval
9/20/2010,England,Pakistan,Pakistan,38 runs,Lord's
9/22/2010,England,Pakistan,England,121 runs,Southampton
1/16/2011,Australia,England,Australia,6 wickets,Melbourne
1/21/2011,Australia,England,Australia,46 runs,Hobart
1/23/2011,Australia,England,Australia,4 wickets,Sydney
1/26/2011,Australia,England,England,21 runs,Adelaide
1/30/2011,Australia,England,Australia,51 runs,Brisbane
2/2/2011,Australia,England,Australia,2 wickets,Sydney
2/6/2011,Australia,England,Australia,57 runs,Perth
2/22/2011,England,Netherlands,England,6 wickets,Nagpur
2/27/2011,India,England,India,-,Bengaluru
3/2/2011,England,Ireland,Ireland,3 wickets,Bengaluru
3/6/2011,England,South Africa,England,6 runs,Chennai
3/11/2011,Bangladesh,England,Bangladesh,2 wickets,Chattogram
3/17/2011,England,West Indies,England,18 runs,Chennai
3/26/2011,Sri Lanka,England,Sri Lanka,10 wickets,Colombo (RPS)
6/28/2011,England,Sri Lanka,England,110 runs,The Oval
7/1/2011,England,Sri Lanka,Sri Lanka,69 runs,Leeds
7/3/2011,England,Sri Lanka,Sri Lanka,6 wickets,Lord's
7/6/2011,England,Sri Lanka,England,10 wickets,Nottingham
7/9/2011,England,Sri Lanka,England,16 runs,Manchester
8/25/2011,Ireland,England,England,11 runs,Dublin
9/3/2011,England,India,India,-,Chester-le-Street
9/6/2011,England,India,England,7 wickets,Southampton
9/9/2011,England,India,England,3 wickets,The Oval
9/11/2011,England,India,India,-,Lord's
9/16/2011,England,India,England,6 wickets,Cardiff
10/14/2011,India,England,India,126 runs,Hyderabad (Deccan)
10/17/2011,India,England,India,8 wickets,Delhi
10/20/2011,India,England,India,5 wickets,Mohali
10/23/2011,India,England,India,6 wickets,Mumbai
10/25/2011,India,England,India,95 runs,Kolkata
2/13/2012,England,Pakistan,England,130 runs,Abu Dhabi
2/15/2012,England,Pakistan,England,20 runs,Abu Dhabi
2/18/2012,England,Pakistan,England,9 wickets,Dubai (DSC)
2/21/2012,England,Pakistan,England,4 wickets,Dubai (DSC)
6/16/2012,England,West Indies,England,114 runs,Southampton
6/19/2012,England,West Indies,England,8 wickets,The Oval
6/22/2012,England,West Indies,West Indies,-,Leeds
6/29/2012,England,Australia,England,15 runs,Lord's
7/1/2012,England,Australia,England,6 wickets,The Oval
7/4/2012,England,Australia,Australia,-,Birmingham
7/7/2012,England,Australia,England,8 wickets,Chester-le-Street
7/10/2012,England,Australia,England,7 wickets,Manchester
8/24/2012,England,South Africa,South Africa,-,Cardiff
8/28/2012,England,South Africa,South Africa,80 runs,Southampton
8/31/2012,England,South Africa,England,4 wickets,The Oval
9/2/2012,England,South Africa,England,6 wickets,Lord's
9/5/2012,England,South Africa,South Africa,7 wickets,Nottingham
1/11/2013,India,England,England,9 runs,Rajkot
1/15/2013,India,England,India,127 runs,Kochi
1/19/2013,India,England,India,7 wickets,Ranchi
1/23/2013,India,England,India,5 wickets,Mohali
1/27/2013,India,England,England,7 wickets,Dharamsala
2/17/2013,New Zealand,England,New Zealand,3 wickets,Hamilton
2/20/2013,New Zealand,England,England,8 wickets,Napier
2/23/2013,New Zealand,England,England,5 wickets,Auckland
5/31/2013,England,New Zealand,New Zealand,5 wickets,Lord's
6/2/2013,England,New Zealand,New Zealand,86 runs,Southampton
6/5/2013,England,New Zealand,England,34 runs,Nottingham
6/8/2013,England,Australia,England,48 runs,Birmingham
6/13/2013,England,Sri Lanka,Sri Lanka,7 wickets,The Oval
6/16/2013,England,New Zealand,England,10 runs,Cardiff
6/19/2013,England,South Africa,England,7 wickets,The Oval
6/23/2013,England,India,India,5 runs,Birmingham
9/3/2013,Ireland,England,England,6 wickets,Dublin (Malahide)
9/6/2013,England,Australia,Australia,-,Leeds
9/8/2013,England,Australia,Australia,88 runs,Manchester
9/11/2013,England,Australia,Australia,-,Birmingham
9/14/2013,England,Australia,England,3 wickets,Cardiff
9/16/2013,England,Australia,Australia,49 runs,Southampton
1/12/2014,Australia,England,Australia,6 wickets,Melbourne
1/17/2014,Australia,England,Australia,1 wickets,Brisbane
1/19/2014,Australia,England,Australia,7 wickets,Sydney
1/24/2014,Australia,England,England,57 runs,Perth
1/26/2014,Australia,England,Australia,5 runs,Adelaide
2/28/2014,West Indies,England,West Indies,15 runs,North Sound
3/2/2014,West Indies,England,England,3 wickets,North Sound
3/5/2014,West Indies,England,England,25 runs,North Sound
5/9/2014,Scotland,England,England,39 runs,Aberdeen
5/22/2014,England,Sri Lanka,England,81 runs,The Oval
5/25/2014,England,Sri Lanka,Sri Lanka,157 runs,Chester-le-Street
5/28/2014,England,Sri Lanka,England,10 wickets,Manchester
5/31/2014,England,Sri Lanka,Sri Lanka,7 runs,Lord's
6/3/2014,England,Sri Lanka,Sri Lanka,6 wickets,Birmingham
8/25/2014,England,India,India,-,Bristol
8/27/2014,England,India,India,133 runs,Cardiff
8/30/2014,England,India,India,6 wickets,Nottingham
9/2/2014,England,India,India,9 wickets,Birmingham
9/5/2014,England,India,England,41 runs,Leeds
11/26/2014,Sri Lanka,England,Sri Lanka,25 runs,Colombo (RPS)
11/29/2014,Sri Lanka,England,Sri Lanka,8 wickets,Colombo (RPS)
12/3/2014,Sri Lanka,England,England,5 wickets,Hambantota
12/7/2014,Sri Lanka,England,Sri Lanka,6 wickets,Colombo (RPS)
12/10/2014,Sri Lanka,England,England,5 wickets,Pallekele
12/13/2014,Sri Lanka,England,Sri Lanka,90 runs,Pallekele
12/16/2014,Sri Lanka,England,Sri Lanka,87 runs,Colombo (RPS)
1/16/2015,Australia,England,Australia,3 wickets,Sydney
1/20/2015,England,India,England,9 wickets,Brisbane
1/23/2015,Australia,England,Australia,3 wickets,Hobart
1/30/2015,England,India,England,3 wickets,Perth
2/1/2015,Australia,England,Australia,112 runs,Perth
2/14/2015,Australia,England,Australia,111 runs,Melbourne
2/20/2015,New Zealand,England,New Zealand,8 wickets,Wellington
2/23/2015,England,Scotland,England,119 runs,Christchurch
3/1/2015,England,Sri Lanka,Sri Lanka,9 wickets,Wellington
3/9/2015,Bangladesh,England,Bangladesh,15 runs,Adelaide
3/13/2015,Afghanistan,England,England,9 wickets,Sydney
5/8/2015,Ireland,England,Ireland,-,Dublin (Malahide)
6/9/2015,England,New Zealand,England,210 runs,Birmingham
6/12/2015,England,New Zealand,New Zealand,13 runs,The Oval
6/14/2015,England,New Zealand,New Zealand,3 wickets,Southampton
6/17/2015,England,New Zealand,England,7 wickets,Nottingham
6/20/2015,England,New Zealand,England,3 wickets,Chester-le-Street
9/3/2015,England,Australia,Australia,59 runs,Southampton
9/5/2015,England,Australia,Australia,64 runs,Lord's
9/8/2015,England,Australia,England,93 runs,Manchester
9/11/2015,England,Australia,England,3 wickets,Leeds
9/13/2015,England,Australia,Australia,8 wickets,Manchester
11/11/2015,England,Pakistan,Pakistan,6 wickets,Abu Dhabi
11/13/2015,England,Pakistan,England,95 runs,Abu Dhabi
11/17/2015,England,Pakistan,England,6 wickets,Sharjah
11/20/2015,England,Pakistan,England,84 runs,Dubai (DSC)
2/3/2016,South Africa,England,England,39 runs,Bloemfontein
2/6/2016,South Africa,England,England,5 wickets,Port Elizabeth
2/9/2016,South Africa,England,South Africa,7 wickets,Centurion
2/12/2016,South Africa,England,South Africa,1 wickets,Johannesburg
2/14/2016,South Africa,England,South Africa,5 wickets,Cape Town
6/21/2016,England,Sri Lanka,Sri Lanka,-,Nottingham
6/24/2016,England,Sri Lanka,England,10 wickets,Birmingham
6/26/2016,England,Sri Lanka,Sri Lanka,-,Bristol
6/29/2016,England,Sri Lanka,England,6 wickets,The Oval
7/2/2016,England,Sri Lanka,England,122 runs,Cardiff
8/24/2016,England,Pakistan,England,44 runs,Southampton
8/27/2016,England,Pakistan,England,4 wickets,Lord's
8/30/2016,England,Pakistan,England,169 runs,Nottingham
9/1/2016,England,Pakistan,England,4 wickets,Leeds
9/4/2016,England,Pakistan,Pakistan,4 wickets,Cardiff
10/7/2016,Bangladesh,England,England,21 runs,Dhaka
10/9/2016,Bangladesh,England,Bangladesh,34 runs,Dhaka
10/12/2016,Bangladesh,England,England,4 wickets,Chattogram
1/15/2017,India,England,India,3 wickets,Pune
1/19/2017,India,England,India,15 runs,Cuttack
1/22/2017,India,England,England,5 runs,Kolkata
3/3/2017,West Indies,England,England,45 runs,North Sound
3/5/2017,West Indies,England,England,4 wickets,North Sound
3/9/2017,West Indies,England,England,186 runs,Bridgetown
5/5/2017,England,Ireland,England,7 wickets,Bristol
5/7/2017,England,Ireland,England,85 runs,Lord's
5/24/2017,England,South Africa,England,72 runs,Leeds
5/27/2017,England,South Africa,England,2 runs,Southampton
5/29/2017,England,South Africa,South Africa,7 wickets,Lord's
6/1/2017,England,Bangladesh,England,8 wickets,The Oval
6/6/2017,England,New Zealand,England,87 runs,Cardiff
6/10/2017,England,Australia,England,40 runs,Birmingham
6/14/2017,England,Pakistan,Pakistan,8 wickets,Cardiff
9/19/2017,England,West Indies,England,7 wickets,Manchester
9/21/2017,England,West Indies,West Indies,-,Nottingham
9/24/2017,England,West Indies,England,124 runs,Bristol
9/27/2017,England,West Indies,England,6 runs,The Oval
9/29/2017,England,West Indies,England,9 wickets,Southampton
1/14/2018,Australia,England,England,5 wickets,Melbourne
1/19/2018,Australia,England,England,4 wickets,Brisbane
1/21/2018,Australia,England,England,16 runs,Sydney
1/26/2018,Australia,England,Australia,3 wickets,Adelaide
1/28/2018,Australia,England,England,12 runs,Perth
2/25/2018,New Zealand,England,New Zealand,3 wickets,Hamilton
2/28/2018,New Zealand,England,England,6 wickets,Mount Maunganui
3/3/2018,New Zealand,England,England,4 runs,Wellington
3/7/2018,New Zealand,England,New Zealand,5 wickets,Dunedin
3/10/2018,New Zealand,England,England,7 wickets,Christchurch
6/10/2018,Scotland,England,Scotland,6 runs,Edinburgh
6/13/2018,England,Australia,England,3 wickets,The Oval
6/16/2018,England,Australia,England,38 runs,Cardiff
6/19/2018,England,Australia,England,242 runs,Nottingham
6/21/2018,England,Australia,England,6 wickets,Chester-le-Street
6/24/2018,England,Australia,England,1 wickets,Manchester
7/12/2018,England,India,India,8 wickets,Nottingham
7/14/2018,England,India,England,86 runs,Lord's
7/17/2018,England,India,England,8 wickets,Leeds
10/10/2018,Sri Lanka,England,Sri Lanka,-,Dambulla
10/13/2018,Sri Lanka,England,England,31 runs,Dambulla
10/17/2018,Sri Lanka,England,England,7 wickets,Pallekele
10/20/2018,Sri Lanka,England,England,18 runs,Pallekele
10/23/2018,Sri Lanka,England,Sri Lanka,219 runs,Colombo (RPS)
2/20/2019,West Indies,England,England,6 wickets,Bridgetown
2/22/2019,West Indies,England,West Indies,26 runs,Bridgetown
2/25/2019,West Indies,England,West Indies,-,St George's
2/27/2019,West Indies,England,England,29 runs,St George's
3/2/2019,West Indies,England,West Indies,7 wickets,Gros Islet
5/3/2019,Ireland,England,England,4 wickets,Dublin (Malahide)
5/8/2019,England,Pakistan,Pakistan,-,The Oval
5/11/2019,England,Pakistan,England,12 runs,Southampton
5/14/2019,England,Pakistan,England,6 wickets,Bristol
5/17/2019,England,Pakistan,England,3 wickets,Nottingham
5/19/2019,England,Pakistan,England,54 runs,Leeds
5/30/2019,England,South Africa,England,104 runs,The Oval
6/3/2019,England,Pakistan,Pakistan,14 runs,Nottingham
6/8/2019,England,Bangladesh,England,106 runs,Cardiff
6/14/2019,England,West Indies,England,8 wickets,Southampton
6/18/2019,England,Afghanistan,England,150 runs,Manchester
6/21/2019,England,Sri Lanka,Sri Lanka,20 runs,Leeds
6/25/2019,England,Australia,Australia,64 runs,Lord's
6/30/2019,England,India,England,31 runs,Birmingham
7/3/2019,England,New Zealand,England,119 runs,Chester-le-Street
7/11/2019,England,Australia,England,8 wickets,Birmingham
7/14/2019,England,New Zealand,New Zealand,-,Lord's
2/4/2020,South Africa,England,South Africa,7 wickets,Cape Town
2/7/2020,South Africa,England,South Africa,-,Durban
2/9/2020,South Africa,England,England,2 wickets,Johannesburg
1/11/2001,Australia,West Indies,Australia,74 runs,Melbourne
1/14/2001,Australia,West Indies,Australia,9 wickets,Brisbane
1/17/2001,Australia,West Indies,Australia,28 runs,Sydney
1/21/2001,Australia,Zimbabwe,Australia,8 wickets,Melbourne
1/26/2001,Australia,West Indies,Australia,10 wickets,Adelaide
1/28/2001,Australia,Zimbabwe,Australia,86 runs,Sydney
1/30/2001,Australia,Zimbabwe,Australia,6 wickets,Hobart
2/4/2001,Australia,Zimbabwe,Australia,1 runs,Perth
2/7/2001,Australia,West Indies,Australia,134 runs,Sydney
2/9/2001,Australia,West Indies,Australia,39 runs,Melbourne
3/25/2001,India,Australia,India,60 runs,Bengaluru
3/28/2001,India,Australia,Australia,8 wickets,Pune
3/31/2001,India,Australia,India,118 runs,Indore
4/3/2001,India,Australia,Australia,93 runs,Visakhapatnam
4/6/2001,India,Australia,Australia,4 wickets,Margao
6/9/2001,Australia,Pakistan,Australia,7 wickets,Cardiff
6/10/2001,England,Australia,Australia,5 wickets,Bristol
6/14/2001,England,Australia,Australia,125 runs,Manchester
6/16/2001,Australia,Pakistan,Pakistan,-,Chester-le-Street
6/19/2001,Australia,Pakistan,Pakistan,36 runs,Nottingham
6/21/2001,England,Australia,Australia,8 wickets,The Oval
6/23/2001,Australia,Pakistan,Australia,9 wickets,Lord's
1/11/2002,Australia,New Zealand,New Zealand,23 runs,Melbourne
1/13/2002,Australia,South Africa,South Africa,4 wickets,Melbourne
1/17/2002,Australia,New Zealand,New Zealand,23 runs,Sydney
1/20/2002,Australia,South Africa,Australia,27 runs,Brisbane
1/22/2002,Australia,South Africa,Australia,8 wickets,Sydney
1/26/2002,Australia,New Zealand,New Zealand,77 runs,Adelaide
1/29/2002,Australia,New Zealand,Australia,2 wickets,Melbourne
2/3/2002,Australia,South Africa,Australia,33 runs,Perth
3/22/2002,South Africa,Australia,Australia,19 runs,Johannesburg
3/24/2002,South Africa,Australia,Australia,45 runs,Centurion
3/27/2002,South Africa,Australia,South Africa,-,Potchefstroom
3/30/2002,South Africa,Australia,Australia,37 runs,Bloemfontein
4/3/2002,South Africa,Australia,Australia,8 wickets,Durban
4/6/2002,South Africa,Australia,Australia,3 wickets,Port Elizabeth
4/9/2002,South Africa,Australia,South Africa,65 runs,Cape Town
6/12/2002,Australia,Pakistan,Australia,7 wickets,Melbourne (Docklands)
6/15/2002,Australia,Pakistan,Pakistan,2 wickets,Melbourne (Docklands)
6/19/2002,Australia,Pakistan,Pakistan,91 runs,Brisbane
8/30/2002,Australia,Pakistan,Australia,224 runs,Nairobi (Gym)
